Clusters, Time (sec), Homogeneity Score, Completeness Score, V-Measure Score, Adjusted Random Score, Adjusted Mutual Random Score, Silhouette Score, Accuracy
2, 0.24005770683288574, 0.003575972102690442, 0.0019665320479588444, 0.0025375763558873375, 0.02035814128850089, 0.0020089324515023973, 0.43713632939007396, 0.672
3, 0.0780179500579834, 0.008521421833415402, 0.002979279765387186, 0.004414982759532925, 0.016090845231313176, 0.0036427455242072962, 0.3303585537984246, 0.4815
4, 0.08501982688903809, 0.033903404184497755, 0.008925084091743652, 0.014130348537698663, -0.0035374208029336947, 0.01320697825355553, 0.2827526416307555, 0.3
5, 0.10402369499206543, 0.04007853394194217, 0.008873931730274042, 0.01453059285845629, -0.004926184582763273, 0.013459100635103409, 0.2813351792533105, 0.3025
6, 0.09002041816711426, 0.05250787018426726, 0.010478286087982788, 0.01747026706259939, -0.00530834669327904, 0.01624309480683415, 0.28725276387169013, 0.154
7, 0.10002303123474121, 0.05011760793138547, 0.009103684652487369, 0.015408474831857371, -0.0011234439969647107, 0.014042970841481093, 0.291992865170438, 0.138
8, 0.09102058410644531, 0.05470220413102722, 0.009376739584616095, 0.01600926273433356, -0.0025311518702963243, 0.014489947871714115, 0.25278308077197326, 0.1205
9, 0.09602165222167969, 0.06853762161440065, 0.011132711612706316, 0.019154170571343956, -0.0002736979659795069, 0.017496221959811917, 0.2556758047444264, 0.1715
10, 0.09002113342285156, 0.07710971401442948, 0.011803393867959318, 0.020472939192766427, -3.0999230481823404e-05, 0.018703042212150765, 0.2581041609565201, 0.0835
2, 3.9588940143585205, 0.00251005387754009, 0.0027978280608901536, 0.0026461399309136474, -0.030219571677618042, 0.001855625429814836, -0.07608086287301406, 0.1825
3, 6.713791131973267, 0.06638417597606142, 0.0370206788992423, 0.047533305196630814, 0.15516533277384062, 0.04650341641027929, 0.07364173704232994, 0.759
4, 9.309080600738525, 0.05851541479290716, 0.02880631925130186, 0.038606968542183255, 0.10828520901826279, 0.037104228941826425, -0.09436851702035053, 0.0085
5, 15.260445356369019, 0.059525785121024063, 0.024862642045496736, 0.03507514804182346, 0.08718100622209941, 0.03323803960001262, -0.17030028451679619, 0.1215
6, 14.888676404953003, 0.06693358348039145, 0.01885914747164316, 0.029426976100527184, 0.06717594703249669, 0.02776335610236334, -0.11283214794678006, 0.0385
7, 17.539897680282593, 0.0705279633777458, 0.019960645281473753, 0.03111515759314355, 0.06713564198136626, 0.02908414884713085, -0.26005149026230817, 0.016
8, 23.129314422607422, 0.11047546749274098, 0.027488701453925592, 0.04402341806682833, 0.025526610557283894, 0.0418975373481109, -0.32757880552303237, 0.0435
9, 26.61619210243225, 0.07136385855731639, 0.015796551971745218, 0.02586731507486533, 0.0453959069985701, 0.023961477422508915, -0.17357462464780035, 0.049
10, 31.943721771240234, 0.07201551297512242, 0.0155883846842014, 0.02562912266419746, 0.03599948361116598, 0.023722414644459774, -0.1584954963321372, 0.394
